n,sel_comp,sel_swaps,sel_copies,sel_cpu,mer_comp,mer_swaps,mer_copies,mer_cpu,heap_comp,heap_swaps,heap_copies,heap_cpu,filename
100000,4999950000,99984,299952,9.500673,1536532,0,3337856,0.009702,3019554,1574668,4724004,0.008321,./inputs/input1.txt
100000,4999950000,99984,299952,9.243542,1536532,0,3337856,0.008622,3019554,1574668,4724004,0.008179,./inputs/input1.txt
100000,4999950000,99984,299952,9.107692,1536532,0,3337856,0.021417,3019554,1574668,4724004,0.009778,./inputs/input1.txt
100000,4999950000,99984,299952,9.078760,1536532,0,3337856,0.007702,3019554,1574668,4724004,0.009435,./inputs/input1.txt
100000,4999950000,99984,299952,9.415133,1536532,0,3337856,0.007720,3019554,1574668,4724004,0.008222,./inputs/input1.txt
100000,4999950000,99993,299979,9.289118,1536132,0,3337856,0.008159,3020303,1575163,4725489,0.008592,./inputs/input2.txt
100000,4999950000,99993,299979,9.134677,1536132,0,3337856,0.022437,3020303,1575163,4725489,0.008517,./inputs/input2.txt
100000,4999950000,99993,299979,9.527124,1536132,0,3337856,0.010093,3020303,1575163,4725489,0.008854,./inputs/input2.txt
100000,4999950000,99993,299979,10.294665,1536132,0,3337856,0.009846,3020303,1575163,4725489,0.008810,./inputs/input2.txt
100000,4999950000,99993,299979,9.219520,1536132,0,3337856,0.037268,3020303,1575163,4725489,0.008694,./inputs/input2.txt
100000,4999950000,99981,299943,9.138357,1536100,0,3337856,0.008361,3019848,1575165,4725495,0.008525,./inputs/input3.txt
100000,4999950000,99981,299943,8.966394,1536100,0,3337856,0.009197,3019848,1575165,4725495,0.009446,./inputs/input3.txt
100000,4999950000,99981,299943,9.127966,1536100,0,3337856,0.009258,3019848,1575165,4725495,0.009275,./inputs/input3.txt
100000,4999950000,99981,299943,10.070883,1536100,0,3337856,0.010695,3019848,1575165,4725495,0.008823,./inputs/input3.txt
100000,4999950000,99981,299943,9.848532,1536100,0,3337856,0.009466,3019848,1575165,4725495,0.008458,./inputs/input3.txt
